Category,State,Destination,Highlight
Top Visited,Gujarat,Somnath,Pilgrimage and Coastal Cultural Heritage
Top Visited,Bihar,Bodh Gaya,Buddhist Spiritual Trail
Top Visited,Tamil Nadu,Thanjavur,"Classical Music, Chola Temples, Bronze Art"
Top Visited,Karnataka,Mysuru,"Royal Heritage, Mysore Palace, Dasara Festival"
Top Visited,Assam,Kaziranga,"Cultural and Wildlife Blend, Tribal Crafts"
Underexplored,Manipur,Langthabal Konug,Ancient Meitei Architecture and Cultural Landscapes
Underexplored,Meghalaya,Mawphlang Village,"Sacred Groves, Khasi Culture"
Underexplored,Karnataka,Bidar,"Islamic Architecture, Bidri Handicraft"
Underexplored,Telangana,Nalgonda,"Kakatiya Heritage, Forts and Stepwells"
Underexplored,Uttar Pradesh,Mahoba,"Chandela Temples, Bundelkhand Folk Culture"
